DIVISION_ID;ID;TYPE_x;ACRONYM;LABEL;MEMBER_OF_COALITION;COALITION_MEMBERS;name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;PARTY_ID;TYPE_y;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
BE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE92;PARTY;12.15;OFFICIAL;2024-07-16 09:44
FBE;BE01;PARTY;N-VA;Nieuw-Vlaamse Alliantie;;;;;;;;;;;;;;BE01;PARTY;13.97;OFFICIAL;2024-07-16 09:44
FBE;BE01;PARTY;N-VA;Nieuw-Vlaamse Alliantie;;;;;;;;;;;;;;BE01;PARTY;22.09;OFFICIAL;2024-07-16 09:44
FBE;BE02;PARTY;VB;Vlaams Belang;;;;;;;;;;;;;;BE02;PARTY;14.5;OFFICIAL;2024-07-16 09:44
FBE;BE02;PARTY;VB;Vlaams Belang;;;;;;;;;;;;;;BE02;PARTY;22.94;OFFICIAL;2024-07-16 09:44
FBE;BE03;PARTY;Open VLD;Open Vlaamse Liberalen en Democraten;;;;;;;;;;;;;;BE03;PARTY;5.76;OFFICIAL;2024-07-16 09:44
FBE;BE03;PARTY;Open VLD;Open Vlaamse Liberalen en Democraten;;;;;;;;;;;;;;BE03;PARTY;9.11;OFFICIAL;2024-07-16 09:44
FBE;BE04;PARTY;CD&V;Christen-Democratisch en Vlaams;;;;;;;;;;;;;;BE04;PARTY;8.34;OFFICIAL;2024-07-16 09:44
FBE;BE04;PARTY;CD&V;Christen-Democratisch en Vlaams;;;;;;;;;;;;;;BE04;PARTY;13.2;OFFICIAL;2024-07-16 09:44
FBE;BE05;PARTY;Groen;Groen;;;;;;;;;;;;;;BE05;PARTY;6.32;OFFICIAL;2024-07-16 09:44
FBE;BE05;PARTY;Groen;Groen;;;;;;;;;;;;;;BE05;PARTY;10.0;OFFICIAL;2024-07-16 09:44
FBE;BE06;PARTY;Vooruit;Vooruit;;;;;;;;;;;;;;BE06;PARTY;7.99;OFFICIAL;2024-07-16 09:44
FBE;BE06;PARTY;Vooruit;Vooruit;;;;;;;;;;;;;;BE06;PARTY;12.64;OFFICIAL;2024-07-16 09:44
FBE;BE07;PARTY;PVDA;Partij van de Arbeid van België;;;;;;;;;;;;;;BE07;PARTY;5.13;OFFICIAL;2024-07-16 09:44
FBE;BE07;PARTY;PVDA;Partij van de Arbeid van België;;;;;;;;;;;;;;BE07;PARTY;8.12;OFFICIAL;2024-07-16 09:44
FBE;BE90;PARTY;Other parties F.;Other parties from Dutch-speaking electoral college;;;;;;;;;;;;;;BE90;PARTY;1.2;OFFICIAL;2024-07-16 09:44
FBE;BE90;PARTY;Other parties F.;Other parties from Dutch-speaking electoral college;;;;;;;;;;;;;;BE90;PARTY;1.9;OFFICIAL;2024-07-16 09:44
GBE;BE14;PARTY;CSP;Christlich Soziale Partei ;;;;;;;;;;;;;;BE14;PARTY;0.21;OFFICIAL;2024-07-16 09:44
GBE;BE14;PARTY;CSP;Christlich Soziale Partei ;;;;;;;;;;;;;;BE14;PARTY;34.93;OFFICIAL;2024-07-16 09:44
GBE;BE15;PARTY;SP;Sozialistische Partei;;;;;;;;;;;;;;BE15;PARTY;0.07;OFFICIAL;2024-07-16 09:44
GBE;BE15;PARTY;SP;Sozialistische Partei;;;;;;;;;;;;;;BE15;PARTY;11.82;OFFICIAL;2024-07-16 09:44
GBE;BE16;PARTY;PFF-MR;Partei für Freiheit und Fortschritt;;;;;;;;;;;;;;BE16;PARTY;0.08;OFFICIAL;2024-07-16 09:44
GBE;BE16;PARTY;PFF-MR;Partei für Freiheit und Fortschritt;;;;;;;;;;;;;;BE16;PARTY;13.57;OFFICIAL;2024-07-16 09:44
