DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
CZ,CZ12,PARTY,Coal ROZUMNÍ ND,"Koalice Rozumní, ND",,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
CZ,CZ90,PARTY,Other parties,Other parties,,,Czechia,CZ,CZE,203.0,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
DK,DK01,PARTY,A (S),Socialdemokratiet,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK02,PARTY,B (RV),Det Radikale Venstre,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK03,PARTY,C (KF),Det Konservative Folkeparti,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK04,PARTY,F (SF),Socialistisk Folkeparti,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK05,PARTY,I (LA),Liberal Alliance,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK06,PARTY,N,Folkebevægelsen mod EU,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK07,PARTY,O (DF),Dansk Folkeparti,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK08,PARTY,V (V),"Venstre, Danmarks Liberale Parti",,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK09,PARTY,Ø (EL),"""Enhedslisten, de Rød-Grønne""",,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK10,PARTY,Å,Alternativet,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK90,PARTY,Other parties,Other parties,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DE,DE01,PARTY,CDU - CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE02,PARTY,SPD,Sozialdemokratische Partei Deutschlands,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE03,PARTY,GRÜNE,Bündnis 90/Die Grünen,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE04,PARTY,DIE LINKE,DIE LINKE,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE05,PARTY,AfD,Alternative für Deutschland,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
