DIVISION_ID;ID;TYPE_x;ACRONYM;LABEL;MEMBER_OF_COALITION;COALITION_MEMBERS;name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;PARTY_ID;TYPE_y;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME;TEMPERATURE;WEIGHTED_TEMP
BE;BE90;PARTY;Other parties F.;Other parties from Dutch-speaking electoral college;;;Belgium;BE;BEL;56.0;ISO 3166-2:BE;Europe;Western Europe;;150.0;155.0;;BE90;PARTY;2.01;FINAL;;-1.8283837427185472;-3.6750513228642796
FBE;BE05;PARTY;sp.a;Socialistische Partij - Anders;;;;;;;;;;;;;;BE05;PARTY;8.21;FINAL;;1.5365871839006795;12.61538077982458
FBE;BE05;PARTY;sp.a;Socialistische Partij - Anders;;;;;;;;;;;;;;BE05;PARTY;13.23;FINAL;;0.73675572506323;9.747278242586532
FBE;BE09;PARTY;Groen! ;Groen!;;;;;;;;;;;;;;BE09;PARTY;4.9;FINAL;;0.24999019230244546;1.2249519422819828
FBE;BE09;PARTY;Groen! ;Groen!;;;;;;;;;;;;;;BE09;PARTY;7.9;FINAL;;1.5432332600518084;12.191542754409287
FBE;BE10;PARTY;N-VA;Nieuw-Vlaamse Alliantie;;;;;;;;;;;;;;BE10;PARTY;6.13;FINAL;;-0.9673693340951282;-5.9299740180031355
FBE;BE10;PARTY;N-VA;Nieuw-Vlaamse Alliantie;;;;;;;;;;;;;;BE10;PARTY;9.88;FINAL;;1.5953961561863306;15.762514023120948
FBE;BE01;PARTY;CD&V;Christen-Democratisch en Vlaams;;;;;;;;;;;;;;BE01;PARTY;14.43;FINAL;;-1.7341348883851953;-25.023566439398365
FBE;BE01;PARTY;CD&V;Christen-Democratisch en Vlaams;;;;;;;;;;;;;;BE01;PARTY;23.26;FINAL;;-1.9286430038932174;-44.86023627055624
FBE;BE06;PARTY;Open VLD;Vlaamse Liberalen en Democraten;;;;;;;;;;;;;;BE06;PARTY;12.75;FINAL;;1.645116642899167;20.97523719696438
FBE;BE06;PARTY;Open VLD;Vlaamse Liberalen en Democraten;;;;;;;;;;;;;;BE06;PARTY;20.56;FINAL;;0.05350085106248059;1.0999774978446009
FBE;BE11;PARTY;LDD;Lijst Dedecker;;;;;;;;;;;;;;BE11;PARTY;4.51;FINAL;;-0.057360665949337974;-0.25869660343151424
FBE;BE11;PARTY;LDD;Lijst Dedecker;;;;;;;;;;;;;;BE11;PARTY;7.28;FINAL;;0.4290205941079792;3.1232699251060887
FBE;BE12;PARTY;Vl. Belang;Vlaams Belang;;;;;;;;;;;;;;BE12;PARTY;9.85;FINAL;;-1.0774619120092392;-10.612999833291006
FBE;BE12;PARTY;Vl. Belang;Vlaams Belang;;;;;;;;;;;;;;BE12;PARTY;15.88;FINAL;;-1.2503364998493516;-19.855343617607705
FBE;BE90;PARTY;Other parties F.;Other parties from Dutch-speaking electoral college;;;;;;;;;;;;;;BE90;PARTY;2.18;FINAL;;0.25065040081348844;0.5464178737734048
FBE;BE90;PARTY;Other parties F.;Other parties from Dutch-speaking electoral college;;;;;;;;;;;;;;BE90;PARTY;2.01;FINAL;;-0.02092871439637589;-0.042066715936715536
GBE;BE03;PARTY;CSP;Christeliche soziale Partei ;;;;;;;;;;;;;;BE03;PARTY;0.19;FINAL;;-0.8599327874846407;-0.16338722962208174
GBE;BE03;PARTY;CSP;Christeliche soziale Partei ;;;;;;;;;;;;;;BE03;PARTY;32.25;FINAL;;1.0805309667291136;34.84712367701391
GBE;BE13;PARTY;PFF; Partei für Freiheit und Fortschritt;;;;;;;;;;;;;;BE13;PARTY;0.12;FINAL;;-0.12540133919335306;-0.015048160703202366
GBE;BE13;PARTY;PFF; Partei für Freiheit und Fortschritt;;;;;;;;;;;;;;BE13;PARTY;20.37;FINAL;;0.9657901282672094;19.673144912803057
GBE;BE14;PARTY;ecolo (G);ecolo (G);;;;;;;;;;;;;;BE14;PARTY;0.09;FINAL;;-0.4201465752425251;-0.03781319177182726
GBE;BE14;PARTY;ecolo (G);ecolo (G);;;;;;;;;;;;;;BE14;PARTY;15.58;FINAL;;-1.9607875131745365;-30.54906945525928
GBE;BE15;PARTY;SP;Sozialdemokratischen Partei Ostbelgiëns;;;;;;;;;;;;;;BE15;PARTY;0.09;FINAL;;0.54594299788566;0.0491348698097094
GBE;BE15;PARTY;SP;Sozialdemokratischen Partei Ostbelgiëns;;;;;;;;;;;;;;BE15;PARTY;14.63;FINAL;;-1.3418974415643299;-19.631959570086146
GBE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;;;;;;;;;;;;BE92;PARTY;0.1;FINAL;;0.04446793645048741;0.004446793645048741
GBE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;;;;;;;;;;;;BE92;PARTY;17.17;FINAL;;-0.07109229753035962;-1.2206547485962747
WBE;BE04;PARTY;PS;Parti Socialiste;;;;;;;;;;;;;;BE04;PARTY;29.1;FINAL;;-1.842814118987568;-53.62589086253823
WBE;BE04;PARTY;PS;Parti Socialiste;;;;;;;;;;;;;;BE04;PARTY;10.88;FINAL;;1.6153175752953115;17.57465521921299
WBE;BE08;PARTY;ECOLO;Ecologistes Confédérés pour I’organisation de luttes originales;;;;;;;;;;;;;;BE08;PARTY;22.88;FINAL;;1.2019982875413509;27.501720818946108
WBE;BE08;PARTY;ECOLO;Ecologistes Confédérés pour I’organisation de luttes originales;;;;;;;;;;;;;;BE08;PARTY;8.55;FINAL;;-0.8701771401718283;-7.440014548469133
WBE;BE02;PARTY;cdH;Centre Démocrate Humaniste;;;;;;;;;;;;;;BE02;PARTY;13.34;FINAL;;-1.3536105977529624;-18.057165374024517
WBE;BE02;PARTY;cdH;Centre Démocrate Humaniste;;;;;;;;;;;;;;BE02;PARTY;4.99;FINAL;;0.08198619615153913;0.40911111879618023
WBE;BE07;PARTY;MR;Mouvement des Citoyens pour le Changement;;;;;;;;;;;;;;BE07;PARTY;26.05;FINAL;;-1.7838766937381352;-46.46998787187842
WBE;BE07;PARTY;MR;Mouvement des Citoyens pour le Changement;;;;;;;;;;;;;;BE07;PARTY;9.74;FINAL;;1.9633991822161785;19.12350803478558
WBE;BE91;PARTY;Other parties W.;Other parties from French-speaking electoral college;;;;;;;;;;;;;;BE91;PARTY;8.63;FINAL;;-1.4555313576946056;-12.561235616904447
WBE;BE91;PARTY;Other parties W.;Other parties from French-speaking electoral college;;;;;;;;;;;;;;BE91;PARTY;2.29;FINAL;;-0.3227367372108372;-0.7390671282128172
BG;BG01;PARTY;GERB;Grazhdani za evropeysko razvitie na Balgariya;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG01;PARTY;24.36;FINAL;;0.5706536009433001;13.90112171897879
